"","Grid_lat","Grid_long","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"1",5.25,109.25,408.86,419.31,420.29,421.91,413.76,421.08,418.3,416.29,420.22,419.15,423.3,421.87,417.6,419.83,420.91
"2",5.25,109.75,411.8,418.42,419.97,421.91,416.35,421.48,419.15,419.93,420.31,419.73,423.56,421.97,419.16,421.56,419.85
"3",5.25,110.25,411.08,418.62,418.81,420.97,420.51,420.88,421.2,421.23,421.74,419.18,424.04,421.23,419.78,424.46,420.95
"4",5.25,110.75,414.88,418.91,418.08,421.27,421.27,420.08,420.55,421.42,421.24,420.58,423.89,422.5,421.28,423.2,421.86
"5",5.25,111.25,418.23,419.34,418.35,420.43,421.18,420.43,421.96,420.99,422.31,421,423.42,422.41,420.9,421.23,420.35
"6",5.25,111.75,419.96,419.62,418.75,421.07,420.76,422.39,422.12,420.44,422.14,420.92,423.25,422.44,420.34,421.56,421.67
"7",5.25,112.25,420.04,419.82,420.13,421.41,421.04,422.53,421.95,420.1,423.08,421.98,423.89,422.38,421,422.22,420.3
"8",5.25,112.75,419.72,420.99,420.77,421.39,422.45,422.55,421.73,419.74,424.25,421.78,424.24,422.51,421.35,421.88,420.72
"9",5.25,113.25,420.21,420.97,420.45,420.45,422.61,420.61,421.52,420.94,424.13,420.24,423.46,422.24,421.13,423.12,421.68
"10",5.25,113.75,417.93,420.61,420.97,421.1,421.53,422.37,420.8,420.35,412.76,421.2,420.19,423.13,421.91,423.31,421.97
"11",5.25,114.25,419.4,420.69,421.62,420.97,419.46,424.03,416.68,412.46,409.08,423.26,405.17,423.45,421.63,424.21,421.92
"12",5.25,114.75,414.19,418.77,419.96,416.94,411.98,420.61,411.97,400.1,409.69,425.95,396.89,417.87,424.05,423.48,422.43
"13",5.25,115.25,396.6,393.44,393.01,388.64,393.95,393.24,378.05,376.34,390.05,404.25,371.27,388.08,400.1,401.23,386.3
"14",5.25,115.75,374.85,376.1,381.34,356.43,368.01,361.38,403.7,401.84,408.37,373.41,376.5,356.55,384.87,387.69,377.32
"15",5.25,116.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",5.25,116.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",5.25,117.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",5.25,117.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",5.25,118.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",5.25,118.75,400.35,398.81,408.65,415.93,404.79,403.26,399.46,402.66,395.71,402.6,403.75,412.83,414.86,405.52,407.58
"21",5.25,119.25,415.63,419.64,422.17,419.85,417.53,419.21,411.61,414.44,412.61,423.52,423.65,423.68,422.49,426.91,421.49
"22",5.25,119.75,414.36,422.09,421.92,419.66,416.89,422.67,417.84,419.01,415.08,423.3,427.6,421.61,421.42,427.76,418.06
"23",5.25,120.25,410.31,420.41,414.24,411.21,398.9,415.86,417.34,415.82,413.81,418.12,427.85,409.12,417.78,422.8,412.6
