,PC1,PC2,PC3
1,0.681105609,-0.468012051,0.15481243
2,0.222255594,0.342643294,0.082801546
3,0.040110488,-0.07607851,0.33209967
4,-0.103680389,-0.002266347,-0.321583485
5,0.163830323,-0.048764583,-0.524530249
6,-0.071751741,0.434522468,0.232749203
7,-0.015452577,-0.268340485,0.209007651
8,-0.272434528,-0.360471471,0.038970555
9,-0.033281544,0.25540333,0.479637953
10,0.094471278,0.201318158,-0.233864628
11,-0.4731338,-0.114787438,-0.015396103
12,-0.003830081,0.155088861,-0.254730115
13,0.168618825,0.259974108,-0.10460641
14,-0.314215318,-0.20959829,0.05535211
15,-0.082612138,-0.100631043,-0.130720129
