"","Grid_lat","Grid_long","1","2","3","4","5","6","7","8","9","10","11","12","13"
"1",5.25,109.25,364.466145342085,421.079908180765,403.574911148636,418.738643906553,416.06378667454,408.682972523122,387.575199838386,401.061771657467,404.261311217761,417.675603551902,408.214285274512,428.707906831754,430.515250795196
"2",5.25,109.75,378.315128814599,419.029749760922,406.508286455499,406.967714061554,408.831632655448,410.939859089545,391.595462371052,403.818173726077,407.789432607877,417.528641468114,416.95738087006,422.881498412659,426.625303985877
"3",5.25,110.25,376.543431827213,418.885024095312,408.166566544716,393.276619943872,393.306666364095,411.631724324078,388.610053670788,401.080414162282,407.494192210466,418.036650873161,416.746429407315,430.199954534382,421.938883954077
"4",5.25,110.75,388.270148755528,412.875910124417,413.798542492774,404.412629373793,399.746875226113,414.889808169954,396.269368073511,406.748946982618,412.448609787331,421.048733669501,425.856043202299,428.011154523629,422.77883017114
"5",5.25,111.25,403.391275202881,412.001823345776,416.108575252825,410.369021865504,404.037042329777,412.920899834307,403.036188559746,408.666419090359,417.249843568802,417.850827759929,427.261646174306,422.422885066951,418.137849267813
"6",5.25,111.75,408.043735805649,413.131301126889,415.343947709487,419.108911695511,411.793246776745,413.058819066648,404.642166694303,410.487442123688,418.538957098996,416.310195976041,427.909837308422,421.441814953942,418.682638204865
"7",5.25,112.25,407.534007901384,417.484775276443,414.254857219507,420.10364541332,415.430174566021,412.479359845905,404.153557486245,410.038653903362,419.804957226862,415.522234213891,425.795437238539,418.321545768323,418.944544999534
"8",5.25,112.75,404.552784204217,419.305296961128,416.158282155508,425.79010447516,415.817383119747,412.656359365364,403.588696761698,409.434872332212,421.348467507722,416.387563726552,423.42195110799,423.90566385618,417.83894169218
"9",5.25,113.25,410.529651733085,415.548148267045,416.653676392642,416.876304968084,407.989510110018,414.696583582413,407.349651243556,411.267079494267,417.913100933389,417.498108922271,422.926845825937,426.616703144049,417.496802544016
"10",5.25,113.75,395.957483112323,421.595345251059,412.563095202554,408.716547265934,410.478119382852,421.01455663461,406.497281298198,411.358980835184,413.006730775878,426.324375668196,412.690579453318,422.614001964623,428.658941431402
"11",5.25,114.25,381.278336859606,410.690626147912,407.416092767186,451.884157797663,425.561468972967,406.340875181225,400.383012994157,396.515822961087,413.986233267551,424.654305661489,395.452091878764,423.531735474078,430.941551539422
"12",5.25,114.75,354.747588906448,409.977929210796,394.442343378114,471.171734718868,449.52976127695,390.924601975829,389.506695808788,382.503580057129,408.539946157103,421.790375989955,375.732809368459,406.562634360359,441.272582036035
"13",5.25,115.25,339.563334182643,376.49057225805,361.71526275064,371.389871549024,409.785389818675,351.574895072068,333.796314529175,334.792212967465,394.649490200417,387.238824756645,363.967163675922,368.472528155468,395.799382350204
"14",5.25,115.75,382.737270345223,312.881014923117,289.358885530034,312.000668126319,331.652357135061,278.956434949528,306.300438288192,268.249087242983,293.634912460232,311.254947792624,308.628955565126,335.588506758893,337.558780987669
"20",5.25,118.75,346.184644716135,383.8758179351,390.588677056152,402.147311904085,403.441284349556,391.227055209711,378.568077053401,384.192728534597,394.460090346676,403.956648425669,406.072941510015,411.928474604857,421.955263135544
"21",5.25,119.25,370.438475005621,423.6220468786,397.609064598818,432.715401551416,427.71662083446,418.45421253821,384.304766833179,403.068811608688,404.975825666547,427.780828465618,410.830188999613,415.732733184352,441.820298094346
"22",5.25,119.75,375.934022885432,434.256708500188,394.117040616759,401.912721987562,410.25844223573,417.116857006017,379.706408474148,399.449854320851,402.938509433186,425.459362010832,407.975318045871,404.230362803199,436.385177323123
"23",5.25,120.25,376.685393555488,421.233018490989,359.137008242251,362.765214551276,384.825910905461,394.732501285207,353.260352942622,374.423257850207,374.006518012284,412.014253308097,393.936841526119,357.322126563431,438.23531790709
"24",5.25,120.75,382.629911512999,421.255077763613,364.81982899537,378.982567457165,390.430308642087,392.512780193542,353.827470003593,375.651131018663,383.650992103015,404.698641900896,400.714021950067,367.643415582082,427.19418196215
"25",5.25,121.25,387.106603400717,414.945410445148,389.057130434315,389.167247150151,404.308727146192,404.61184821804,382.458091535663,395.747890594048,395.986096099878,416.334956897553,416.231357154351,388.713208657629,435.680769745445
"26",5.25,121.75,378.911501899148,423.368245616066,390.723150031398,381.542329161671,399.57695013221,413.945203571634,381.761426763021,397.566710571751,397.232309880911,423.138133544981,410.507330436993,397.830532175268,437.313308612716
"27",5.75,109.25,380.01072956446,415.064411860279,394.308749210593,431.926501584658,428.09148493905,404.180879198203,385.65611603199,399.953126475757,402.361185603578,410.727402918315,412.677065653903,413.719002133737,431.382380645539
"28",5.75,109.75,384.82028964094,409.931969999589,399.562178575061,424.672731224881,418.823150429988,404.171903326768,386.513781380771,400.965422698404,405.617066322349,409.707083041986,422.576538156231,416.83577593637,425.790483827577
"29",5.75,110.25,375.356853363691,407.935737150818,404.758110389923,412.752956735579,402.820677842874,405.967949133183,382.359315206526,398.826871892213,406.894549160592,412.159742237592,426.181172666869,429.368306423947,421.412560181374
"30",5.75,110.75,375.544866460296,406.762417549263,410.194290669495,417.98377341182,401.930567300633,407.6357626372,384.24672645973,399.868236555027,411.953017686158,413.897330183205,429.259096826561,435.755913759639,418.676217079003
"31",5.75,111.25,390.010965284165,411.623524396653,408.749492302502,426.33670941744,413.63119279366,407.761900781651,388.893397165393,402.635659623924,416.059162822791,412.365763860592,429.809946849246,422.59263581629,418.905458765788
"32",5.75,111.75,396.863024473823,409.902098314075,412.225926766101,425.434333804777,410.94527785322,408.396669044131,393.358362081313,404.260913323404,418.236865225567,413.124892744067,431.294534639538,422.851082417549,416.578986404361
"33",5.75,112.25,394.495651109534,415.973857668007,413.060324644665,422.727503489487,415.493390054483,409.434539577909,399.274746208059,407.047996846186,418.450449950467,411.218021155531,423.420383523066,430.161868811707,416.969231861088
"34",5.75,112.75,394.953311829932,421.569386740542,411.340266540539,421.808894278059,417.034139325456,410.130138258058,399.117295106869,407.124017281657,418.00363970068,410.675812808447,418.78147242565,429.948261792705,417.045718627166
"35",5.75,113.25,403.473503746112,418.486554019553,414.245544953052,410.714517724045,406.812162331924,411.082912006001,404.366327238543,407.866332639761,416.627864238623,415.003332800515,418.291976042546,423.410223446678,416.64835164482
"36",5.75,113.75,406.590765923404,416.674212154402,416.479613229012,417.206611089599,410.089697123513,417.359056390453,406.27844518635,412.731189725691,417.176611764765,419.668974689886,424.078535690558,426.760824119075,420.118883626682
"37",5.75,114.25,406.540679856399,420.368900632011,417.998829064017,421.224471522589,413.946816808496,417.734934610136,409.144281797502,413.86240131622,418.525286440711,420.447122939744,420.130581361688,428.061182791463,420.601623274191
"38",5.75,114.75,404.071190732994,417.79284200505,419.188806433415,436.044406496061,422.233150643496,412.803251150375,410.430002973954,410.164401536941,422.742009634301,421.836719099948,417.437650667964,422.580875187372,422.970696272922
"39",5.75,115.25,371.528104855487,419.821072504083,402.875965280784,508.446155567143,453.219153273023,391.999034091417,386.043936055017,385.886398662336,426.874512986659,416.824911288277,400.111832761694,405.650995724135,431.160090334911
"40",5.75,115.75,316.314110807006,381.100464576061,387.271703550469,549.689864001333,465.19553680173,364.143869364586,337.762091743068,344.509985584366,420.839269833853,413.675744634761,377.964682555391,428.35610963139,423.471714261126
"41",5.75,116.25,326.7028327002,373.396672880294,374.162602086411,513.717498487594,438.292820356776,364.950787045299,344.083292391295,353.190041742902,391.66672429223,395.609390666391,371.206043800009,441.085807762913,416.330477072932
"45",5.75,118.25,400.747443480565,413.950850649816,409.491535904458,451.825380462279,421.762736752037,414.277532809874,393.024759555162,402.660438220904,421.810755455459,421.541887684382,422.485924626571,427.923406178689,424.326746906949
"46",5.75,118.75,390.995929454454,413.925056098515,410.212047725948,405.732310736567,415.269828975403,419.41896985961,406.955831441295,411.099305611841,411.595220285155,426.980327839748,419.241786871793,417.332930008289,436.664748759252
"47",5.75,119.25,392.157664895182,420.089127386863,393.31376242132,401.912092755799,423.258563493743,414.079595001369,393.558233604062,405.973395046849,403.000583133961,420.417333725468,419.580614216329,395.541953659291,443.136651259237
"48",5.75,119.75,383.013141189577,433.68660508548,378.747427353221,389.379833401907,411.956553896799,409.797232753638,376.134331325639,394.719658136066,391.676371708826,417.742666006487,400.426595065887,384.58287683232,440.610836290061
"49",5.75,120.25,379.800742308106,412.810282522558,350.803381538318,358.822621993558,385.884537914661,391.528355104418,342.241711531313,371.267076304201,373.732725370096,404.622173674979,412.300173500446,349.248640986462,439.082428801069
